source	Tweets	sentiment	id	spans/0	spans/1	spans/2	spans/3	spans/4
twitter	'I don''t think it will move $FB in the short term    '	-0.042	7.19547428924482E+017	'I don''t think it will move $FB in the short term'				
stocktwits	above 2.25 and it could get going?    	0.26	17792722	above 2.25 and it could get going?				
twitter	Hold    	0.099	7.19530296585028E+017	Hold				
twitter	may feed off $TSLA momentum run lately.    	0.359	7.19528411430052E+017	may feed off $TSLA momentum run lately.				
stocktwits	possible double bottom set up    	0.29	17792845	possible double bottom set up				
stocktwits	trading at all-time high strong earnings report   	0.887	5468109	trading at all-time high	strong earnings report			
stocktwits	If positive outcome w/ lung study5/8 we may see a 13D Filing by Soros    	0.33	36616915	If positive outcome w/ lung study5/8 we may see a 13D Filing by Soros				
stocktwits	Put the chum out there at key support then next level down careful   	-0.32	12288299	Put the chum out there at key support then next level down	careful			
twitter	#Tesla: Great Company   Bad #Stock $TSLA    	-0.065	7.19574528637202E+017	#Tesla: Great Company   Bad #Stock $TSLA				
stocktwits	Good idea buy half this and half BAC?    	0.329	24394588	Good idea buy half this and half BAC?				
stocktwits	Alibaba IPO hoopla canâ€™t hide risk of Chinese stocks    	-0.39	26919572	Alibaba IPO hoopla canâ€™t hide risk of Chinese stocks				
stocktwits	all on a longer-term   technical swing long basis.    	0.591	25816362	all on a longer-term   technical swing long basis.				
twitter	on the fence with this one    	0	7.19533714296934E+017	on the fence with this one				
twitter	stay long Apple    	0.337	7.19574902211265E+017	stay long Apple				
stocktwits	looks like drought conditions in soil already    	-0.122	13451804	looks like drought conditions in soil already				
twitter	Unusual Call Activity    	0.332	7.10863854381564E+017	Unusual Call Activity				
twitter	$MDXG lower   	-0.402	7.19507659741872E+017	$MDXG	lower			
twitter	Biggest Market Losers    	-0.438	7.09834259687711E+017	Biggest Market Losers				
twitter	hip sinking?    	-0.411	7.19524411489976E+017	hip sinking?				
stocktwits	'Can''t imagine shorts wanting to go into the weekend without taking care of their position    '	0.36	17966501	'Can''t imagine shorts wanting to go into the weekend without taking care of their position'				
stocktwits	nice volume watch 330 resistance   	0.113	19339823	nice volume	watch 330 resistance			
stocktwits	$SIMO Basing nice A close over 24.18 is bullish   	0.408	29960476	$SIMO Basing nice	A close over 24.18 is bullish			
stocktwits	Big Money Is Pouring Into Facebook From All Directions    	0.645	15261933	Big Money Is Pouring Into Facebook From All Directions				
twitter	placed an order to sell 5 shares    	-0.379	7.09458685173563E+017	placed an order to sell 5 shares				
twitter	go $FB go    	0.302	7.19940341294572E+017	go $FB go				
stocktwits	Out $BIDU for now    	-0.221	6789490	Out $BIDU for now				
twitter	Short Setups Looking Nice....Really Nice    	-0.464	7.09779449663721E+017	Short Setups Looking Nice....Really Nice				
stocktwits	Defying the Downturn    	0.407	6069381	Defying the Downturn				
stocktwits	but man this is one to be careful with    	-0.291	19158924	but man this is one to be careful with				
twitter	downgrade    	-0.463	7.19520125582504E+017	downgrade				
twitter	Short $TSLA calls    	-0.618	7.19883838059446E+017	Short $TSLA calls				
twitter	'Was looking for a long entry but today''s price action wasn''t appealing    '	0.215	7.1963193121484E+017	'Was looking for a long entry but today''s price action wasn''t appealing'				
stocktwits	just follow the trend   follow the money flow    	0.165	30667508	just follow the trend   follow the money flow				
stocktwits	tapping on 10.00    	0.224	7569377	tapping on 10.00				
stocktwits	Will re-enter short on bounce..    	-0.46	26890071	Will re-enter short on bounce..				
stocktwits	Found some good bull setups this week    	0.448	28165236	Found some good bull setups this week				
stocktwits	all going down    	-0.559	11781180	all going down				
stocktwits	so volatile!    	-0.131	30161946	so volatile!				
stocktwits	sold my 81 calls    	0.328	27914585	sold my 81 calls				
twitter	'I''m watching(and buy targets)    '	0.344	7.19682732712968E+017	'I''m watching(and buy targets)'				
twitter	beats the Estimize EPS Consensus by 6c and the Estimize Revenue Consensus by    	0.366	7.10244676826169E+017	beats the Estimize EPS Consensus by 6c and the Estimize Revenue Consensus by				
stocktwits	Short Percent of Float 16.80%    	-0.16	27488462	Short Percent of Float 16.80%				
stocktwits	    	-0.373	16345651					
stocktwits	Add to $FXP $SKF positions    	0.5	5588045	Add to $FXP $SKF positions				
twitter	long    	0.488	7.09389876295111E+017	long				
twitter	Bottom Losses    	-0.473	7.19699054645613E+017	Bottom Losses				
stocktwits	ure wish bad news came out just a few days earlier    	-0.221	21048631	ure wish bad news came out just a few days earlier				
twitter	    	0	7.08396324710785E+017					
twitter	$WMT   13%    	0.382	7.19609967565804E+017	$WMT   13%				
stocktwits	added increase of 16.7%   	0.274	19905012	added	increase of 16.7%			
stocktwits	mkt fell on debt downgrade due to slow growth   	-0.159	8559122	mkt fell on debt downgrade	due to slow growth			
stocktwits	$FCX +3.53%    	0.339	5514207	$FCX +3.53%				
stocktwits	been very frustrating green bar gets followed immediately by 1-3 weeks of consolidation   	-0.136	7957239	been very frustrating	green bar gets followed immediately by 1-3 weeks of consolidation			
twitter	Thanks for the short    	-0.264	7.19600292204048E+017	Thanks for the short				
stocktwits	need to break $4 again    	0.132	38272763	need to break $4 again				
twitter	Fed cuts rates forecast Our calls go 100%   	0.449	7.10232348738986E+017	Fed cuts rates forecast	Our calls go 100%			
stocktwits	Stochastic Overbought    	-0.516	39047349	Stochastic Overbought				
stocktwits	Very tight price    	0	6213661	Very tight price				
twitter	#oversold    	0.406	7.10594321481802E+017	#oversold				
twitter	a great step for #China to let $FB in    	0.417	7.11251272322527E+017	a great step for #China to let $FB in				
stocktwits	new squeeze plays    	-0.339	27109636	new squeeze plays				
stocktwits	$CRM Seems a little to high also    	-0.344	29352447	$CRM Seems a little to high also				
twitter	Pie In The Sky    	0.365	7.19849703106552E+017	Pie In The Sky				
stocktwits	Moved Upper Bollinger Band    	0.498	29695868	Moved Upper Bollinger Band				
twitter	Highest call to put ratio    	0.348	7.19614954500858E+017	Highest call to put ratio				
twitter	offers will take place until next week    	0.409	7.19572301356917E+017	offers will take place until next week				
stocktwits	Currently it is the shorts rejoicing    	-0.54	12644313	Currently it is the shorts rejoicing				
stocktwits	breaking out when the market pulls back    	0.413	25333030	breaking out when the market pulls back				
twitter	airlines battle for Cuba routes $AAL $LUV $SAVE $JBLU    	0.092	7.09745040826966E+017	airlines battle for Cuba routes $AAL $LUV $SAVE $JBLU				
stocktwits	'Buy the dip''    '	0.38	22409313	'Buy the dip'''				
twitter	$MDXG  lower.   	-0.361	7.19507659741872E+017	$MDXG	 lower.			
stocktwits	BlackBerry Messenger is second only to Facebook in user loyalty    	0.158	35257107	BlackBerry Messenger is second only to Facebook in user loyalty				
twitter	Headed to all time highs    	0.407	7.09715397608661E+017	Headed to all time highs				
twitter	Your shit is broke    	-0.348	7.19533349430301E+017	Your shit is broke				
twitter	buy    	0.458	7.1954913411455E+017	buy				
twitter	Weak open and it goes r/g within first 30 mins    	-0.229	7.19628059280818E+017	Weak open and it goes r/g within first 30 mins				
stocktwits	down $2.84 premarket    	-0.512	29835869	down $2.84 premarket				
twitter	Guess who sold off about $800 million in $MDLZ    	-0.428	7.1023627289643E+017	Guess who sold off about $800 million in $MDLZ				
stocktwits	Buying on Weakness    	0.511	39047253	Buying on Weakness				
twitter	Shareholders welcome Marriott-Starwood deal    	0.322	7.19597174946992E+017	Shareholders welcome Marriott-Starwood deal				
twitter	peachy prospects    	0.339	7.19504049087717E+017	peachy prospects				
twitter	Another Sell Rating   Sell Rating    	-0.513	7.1948919207861E+017	Another Sell Rating   Sell Rating				
twitter	Nice day rally!    	0.529	7.19535506980266E+017	Nice day rally!				
twitter	Nice day rally!    	0.529	7.19535506980266E+017	Nice day rally!				
stocktwits	Quality Stocks With High Cash Returns    	0.274	32427089	Quality Stocks With High Cash Returns				
stocktwits	LED light bulb prices rise in Japan    	0.054	13028004	LED light bulb prices rise in Japan				
twitter	Closed Buy    	0.466	7.19593062406599E+017	Closed Buy				
stocktwits	highest down volume in last 10 days    	-0.31	7830634	highest down volume in last 10 days				
twitter	With $IBB back over support    	0.285	7.19558697362412E+017	With $IBB back over support				
twitter	long into earnings looks good over 600   	0.484	7.19529083915407E+017	long into earnings	looks good over 600			
twitter	considering Yahoo bid up 2  05%   	0.288	7.19579663258022E+017	considering Yahoo bid	up 2  05%			
stocktwits	After weeks of steady gains  advances in mkt breadth slowe    	-0.146	6908313	After weeks of steady gains  advances in mkt breadth slowe				
stocktwits	I will buy aggressively if pulls back    	0.386	5389922	I will buy aggressively if pulls back				
twitter	Nice day rally!    	0.529	7.19535506980266E+017	Nice day rally!				
stocktwits	gets 26 patents and goes down    	-0.373	14646229	gets 26 patents and goes down				
stocktwits	Buying on Weakness    	0.511	39047253	Buying on Weakness				
stocktwits	LED light bulb prices rise in Japan    	0.054	13028004	LED light bulb prices rise in Japan				
stocktwits	is a later riser   Positive catalyst?   	0.203	31112742	is a later riser  	Positive catalyst?			
stocktwits	Could that have been a strategy to exit shorts before the big pop?    	0.316	28243743	Could that have been a strategy to exit shorts before the big pop?				
twitter	Piper upgrades Symantec on improving renewal rates and enterprise growth    	0.525	7.11905971312808E+017	Piper upgrades Symantec on improving renewal rates and enterprise growth				
stocktwits	Look for strong solar rebound today!    	0.304	22758333	Look for strong solar rebound today!				
twitter	I think the DNF crew can get this $NFLX short into the next 30 days heading into earnings    	-0.308	7.08407232690463E+017	I think the DNF crew can get this $NFLX short into the next 30 days heading into earnings				
twitter	red $AAPL dragging down $QQQ    	-0.5	7.19890047135281E+017	red $AAPL dragging down $QQQ				
twitter	cuts outlook down    	-0.236	7.19661137411748E+017	cuts outlook down				
twitter	weakness continues again.    	-0.41	7.11909827648299E+017	weakness continues again.				
twitter	Watchlist Top Stocks    	0.342	7.19551394798268E+017	Watchlist Top Stocks				
stocktwits	Long    	0.428	10462838	Long				
twitter	'joint bid for Yahoo''s internet assets    '	0.228	7.19518460284432E+017	'joint bid for Yahoo''s internet assets'				
stocktwits	patience pays off    	0.272	13877899	patience pays off				
twitter	Bad governance not confident in core biz   	-0.331	7.19619301754274E+017	Bad governance	not confident in core biz			
twitter	Bottom Losses    	-0.756	7.19699054645613E+017	Bottom Losses				
stocktwits	sales numbers still holding up so well igh end might not be a concern after all.   	0.315	8582567	sales numbers still holding up so well	igh end might not be a concern after all.			
stocktwits	I just feel the people who are buying are the same ones with their finger on the sell button    	-0.054	21825008	I just feel the people who are buying are the same ones with their finger on the sell button				
stocktwits	gap filled    	0.226	9878433	gap filled				
stocktwits	debt crisis entered a dangerous new phase    	-0.331	5901252	debt crisis entered a dangerous new phase				
stocktwits	just about to break out to new highs lots of technicals looking great right now   	0.469	12044101	just about to break out to new highs	lots of technicals looking great right now			
stocktwits	'next resist is 64.40''s    '	0.201	9694450	'next resist is 64.40''s'				
twitter	    	0	7.09471541038342E+017					
stocktwits	looks really toppy right here.    	-0.191	12431690	looks really toppy right here.				
stocktwits	this will pop after the holiday    	0.555	39048523	this will pop after the holiday				
stocktwits	Breakup Will Cost Billions    	-0.397	37281790	Breakup Will Cost Billions				
twitter	News breaks first and fastest on Twitter $TWTR    	0.364	7.1956997257447E+017	News breaks first and fastest on Twitter $TWTR				
twitter	overbought    	-0.296	7.09741154393133E+017	overbought				
stocktwits	Continues to consolidate above previous break out area.    	0.375	33922154	Continues to consolidate above previous break out area.				
stocktwits	Good to load up Be confident    	0.281	6783339	Good to load up Be confident				
stocktwits	Long look like a 5-10% run awaits   	0.394	5704829	Long	look like a 5-10% run awaits			
twitter	Buy Call!    	0.095	7.19536774821868E+017	Buy Call!				
stocktwits	companies shld be worried about iCloud    	-0.329	5806487	companies shld be worried about iCloud				
stocktwits	$SPY -0.05%    	0.028	7604860	$SPY -0.05%				
stocktwits	but decent supt here-expect some upside    	0.302	11204903	but decent supt here-expect some upside				
twitter	Monday sold    	-0.37	7.19514330182459E+017	Monday sold				
twitter	Sector has been taking a beating recently   could be positive here will catch a bid today   	0.361	7.09330857732018E+017	Sector has been taking a beating recently   could be positive here	will catch a bid today			
twitter	At 11x earnings   $AAPL is a steal    	0.561	7.19878087190524E+017	At 11x earnings   $AAPL is a steal				
stocktwits	Multi Top on $MCD  chart finally leads to a fall in price Stability is questioned in the stock but coming weeks will tell  	-0.474	7156920	Multi Top on $MCD	 chart finally leads to a fall in price	Stability is questioned in the stock but coming weeks will tell		
stocktwits	US Adds 321K Jobs In November Unemployment Rate Remains At  Gold Futures off  	0.243	29932186	US Adds 321K Jobs In November	Unemployment Rate Remains At 	Gold Futures off		
twitter	Why is $FB falling?    	-0.304	7.19528324616159E+017	Why is $FB falling?				
twitter	calls for nice gains Still holding Week made in a morning  	0.396	7.09418142645137E+017	calls for nice gains	Still holding	Week made in a morning		
twitter	someone bought lots of calls MON    	0.444	7.10186737654321E+017	someone bought lots of calls MON				
stocktwits	moving up again    	0.12	9982140	moving up again				
stocktwits	$EA points to the two Facebook games    	0.048	8980267	$EA points to the two Facebook games				
stocktwits	ready to exit bankruptcy    	0.298	6521056	ready to exit bankruptcy				
stocktwits	starting to creep up    	0.28	6192243	starting to creep up				
stocktwits	looks like BO coming    	0.36	34063135	looks like BO coming				
stocktwits	2m this year would be amazing    	0.151	9544472	2m this year would be amazing				
stocktwits	Moved Upper Bollinger Band    	0.498	29695868	Moved Upper Bollinger Band				
twitter	$GOGO short    	-0.318	7.11745824884187E+017	$GOGO short				
twitter	EU getting closer to charging Google over Android    	-0.319	7.09840317701165E+017	EU getting closer to charging Google over Android				
twitter	Supermarket Stocks Rally as Tesco Plans to Axe Non-core UK Assets    	0.346	7.19563779378438E+017	Supermarket Stocks Rally as Tesco Plans to Axe Non-core UK Assets				
stocktwits	China winners    	0.452	19639364	China winners				
stocktwits	looks like an ascending channel    	0.363	35260630	looks like an ascending channel				
stocktwits	patience on the buy precedes patience on the sell    	0	5918384	patience on the buy precedes patience on the sell				
twitter	Oil To Break Out Adding Chevron   	0.666	7.10211237058093E+017	Oil To Break Out	Adding Chevron			
stocktwits	brand name is to big for it to fail  I bet they recover or get bought out before the year is over   	0.226	24386175	brand name is to big for it to fail	 I bet they recover or get bought out before the year is over			
twitter	Top #NetPayoutYields    	0.426	7.10965451677827E+017	Top #NetPayoutYields				
stocktwits	Long $AMZN Oct $240 Calls    	0.628	9969988	Long $AMZN Oct $240 Calls				
twitter	under pressure along with the market    	0.014	7.19913633858212E+017	under pressure along with the market				
stocktwits	patience pays off    	0.272	13877899	patience pays off				
stocktwits	stock splits are lipstick on a pig!    	-0.347	23569140	stock splits are lipstick on a pig!				
stocktwits	making new highs for the year    	0.53	5509476	making new highs for the year				
stocktwits	held up well after the big gains! still very undervalued and has major upside   	0.695	34273656	held up well after the big gains!	still very undervalued and has major upside			
stocktwits	wait and see before taking any action    	0	16373691	wait and see before taking any action				
stocktwits	Markets Are Still Acting Weak    	-0.443	6139459	Markets Are Still Acting Weak				
stocktwits	breaking below support    	-0.397	36124809	breaking below support				
twitter	sold 20% of our concentrated stake    	-0.344	7.19614857704641E+017	sold 20% of our concentrated stake				
stocktwits	'want to go this morning it''s about time looking at the chart   '	0.28	8820362	want to go this morning	'it''s about time looking at the chart'			
twitter	cracking lower early $short #correction  	-0.511	7.19519136318169E+017	cracking lower early	$short	#correction		
twitter	$FB & $IBB down    	-0.527	7.1954038805522E+017	$FB & $IBB down				
twitter	Higher In Afternoon Trade Buy Point   	0.243	7.19599977480253E+017	Higher In Afternoon Trade	Buy Point			
twitter	Oil To Break Out Adding Chevron   	0.666	7.10211237058093E+017	Oil To Break Out	Adding Chevron			
stocktwits	added $SSO 64.33    	0.626	39024678	added $SSO 64.33				
twitter	$FB $112 Calls .55 entry    	0.509	7.0940805477775E+017	$FB $112 Calls .55 entry				
stocktwits	'Is Tiffany''s overvalued    '	-0.25	5884846	'Is Tiffany''s overvalued'				
twitter	$INTC & $AAPL strong tech leads DOW higher   	0.722	7.19529794262708E+017	$INTC & $AAPL strong	tech leads DOW higher			
stocktwits	'after crunching #''s diamond in the rough   '	0.477	5693883	'after crunching #''s'	diamond in the rough			
twitter	Biggest gainers today large caps    	0.556	7.19720776027353E+017	Biggest gainers today large caps				
twitter	$AAPL a new long IF 110.61 is broke    	0.379	7.1970751514805E+017	$AAPL a new long IF 110.61 is broke				
twitter	added to our $GILD position started a new one in $BWLD   	0.422	7.19549571924423E+017	added to our $GILD position	started a new one in $BWLD			
stocktwits	Largest Online Gaming Market    	0.226	31143613	Largest Online Gaming Market				
stocktwits	    	-0.541	5699115					
twitter	Bottom Losses    	-0.659	7.19699054645613E+017	Bottom Losses				
stocktwits	stopped out even from yesterdays entry    	-0.413	5879099	stopped out even from yesterdays entry				
stocktwits	Micron Shares Pounded On Fears Of Loss Of Business From Apple    	-0.596	33087415	Micron Shares Pounded On Fears Of Loss Of Business From Apple				
twitter	Closed Buy    	0.466	7.19593062406599E+017	Closed Buy				
twitter	over 225 million new Internet users are being added globally every year    	0.337	7.19533807897047E+017	over 225 million new Internet users are being added globally every year				
stocktwits	'$UVXY broke 10.00 amazing!!! not the 1st time won''t be the last  '	0.265	12018290	$UVXY broke 10.00 amazing!!!	not the 1st time	'won''t be the last'		
stocktwits	Long LEAPS    	0.438	6751172	Long LEAPS				
stocktwits	Looks like that support line around 24.90 held t can close green it could start seeing some pstv momentum     	0.331	29835080	Looks like that support line around 24.90 held	t can close green it could start seeing some pstv momentum  			
stocktwits	retreats like clockwork    	-0.488	5499580	retreats like clockwork				
twitter	    	0	7.19612962013635E+017					
stocktwits	its time to sell banks    	-0.763	16142438	its time to sell banks				
twitter	upgrades to outperform ifts price target   	0.61	7.09286017027564E+017	upgrades to outperform	ifts price target			
twitter	Unusual call buying    	0.336	7.11907079296934E+017	Unusual call buying				
stocktwits	holding strong    	0.192	10042291	holding strong				
stocktwits	Three of my hot stocks today    	0.461	20655340	Three of my hot stocks today				
twitter	Bulls Are Out    	0.323	7.1971930492135E+017	Bulls Are Out				
twitter	patents system    	0.271	7.0993064549392E+017	patents system				
twitter	Markets Back in Black for 2016    	0.271	7.10822084579086E+017	Markets Back in Black for 2016				
twitter	The losers buying $TSLA at these levels    	-0.545	7.11707719674274E+017	The losers buying $TSLA at these levels				
twitter	adding $expe and $pcln to the mix soon I already have $CTRP and $trip   	0.554	7.09398139195642E+017	adding $expe and $pcln to the mix soon	I already have $CTRP and $trip			
twitter	'Today''s losers    '	-0.317	7.19652260322476E+017	'Today''s losers'				
twitter	not feel terribly good    	-0.126	7.19583306640191E+017	not feel terribly good				
twitter	$SPY up only 0.6% Still holding   	0.228	7.0978769226394E+017	$SPY up only 0.6%	Still holding			
twitter	record number of passengers served in 2015    	0.638	7.19904304207962E+017	record number of passengers served in 2015				
stocktwits	While we think $TNH is a winner we are ringing the register   	0.415	33542411	While we think $TNH is a winner	we are ringing the register			
stocktwits	'reiterated ''Outperform'' rating    '	0.694	5988258	'reiterated ''Outperform'' rating'				
stocktwits	airplanes are still flying    	0.262	26057981	airplanes are still flying				
twitter	$MTD $341 from $325    	0.362	7.1952950491428E+017	$MTD $341 from $325				
stocktwits	bond buying is signaling some bad moves for the market    	-0.361	5664221	bond buying is signaling some bad moves for the market				
stocktwits	I see more downside in next two weeks be careful -20 dollars drop potential  	-0.477	17316092	I see more downside in next two weeks	be careful	-20 dollars drop potential		
stocktwits	has just about run its course needs to find a way to turn around   	-0.449	6183420	has just about run its course	needs to find a way to turn around			
twitter	Biggest Market Losers    	-0.438	7.09834259687711E+017	Biggest Market Losers				
stocktwits	Loaded up on $bsx yesterday looking good now Still think way more upside than downside.  	0.664	8874880	Loaded up on $bsx yesterday	looking good now	Still think way more upside than downside.		
twitter	Notable gainers among liquid option names this morning    	0.513	7.19544293606736E+017	Notable gainers among liquid option names this morning				
twitter	Gevoâ€™s Alcohol to Jet Fuel Now Eligible to be Used for Commercial Flight    	0.026	7.19864087132443E+017	Gevoâ€™s Alcohol to Jet Fuel Now Eligible to be Used for Commercial Flight				
twitter	5-star analyst @brianwieser from Pivotal Research upgraded rating on $GOOGL to BUY Brian has a 79% success rate   	0.561	7.19529163686851E+017	5-star analyst @brianwieser from Pivotal Research upgraded rating on $GOOGL to BUY	Brian has a 79% success rate			
stocktwits	Santa Rally blow off top   	0.22	6224926	Santa Rally	blow off top			
twitter	iPhone 6s is still better than Galaxy S7    	0.385	7.09410816626455E+017	iPhone 6s is still better than Galaxy S7				
stocktwits	'didn''t factor in anything other than google and repeated good earnings    '	0.102	15971881	'didn''t factor in anything other than google and repeated good earnings'				
twitter	Facebook is succeeding where Google should have dominated    	0.531	7.19736621025726E+017	Facebook is succeeding where Google should have dominated				
twitter	$UCO +4.44%    	0.442	7.19555610497274E+017	$UCO +4.44%				
stocktwits	up on day and will continue a surge next week.    	0.509	31675138	up on day and will continue a surge next week.				
twitter	Facebook stock is now +$72    	0.272	7.19616043023524E+017	Facebook stock is now +$72				
stocktwits	ripe for a squeeze again    	-0.216	8873647	ripe for a squeeze again				
twitter	Biggest Market Losers    	-0.438	7.09834259687711E+017	Biggest Market Losers				
twitter	with personal story sharing declining will $FB feeds start to look more like $TWTR   	-0.393	7.19634125154492E+017	with personal story sharing declining	will $FB feeds start to look more like $TWTR			
twitter	upgrades stock recuperates   	0.334	7.09661218131284E+017	upgrades	stock recuperates			
stocktwits	'saying this is a peak = fear mongering Competition''s dying smartphone usage increasing  '	0.329	31858971	saying this is a peak = fear mongering	'Competition''s dying'	smartphone usage increasing		
twitter	the most trending    	0.216	7.09731726726193E+017	the most trending				
twitter	'who won''t pay anymore REAL risk   '	-0.349	7.10187873492984E+017	'who won''t pay anymore'	REAL risk			
twitter	still they are saying bullish LoL    	-0.038	7.19600198956294E+017	still they are saying bullish LoL				
stocktwits	'today''s bull flag    '	0.2	13796141	'today''s bull flag'				
stocktwits	growth rate of approximately 122.0% to 124.9%. total net revenues to be between $780 mln and $790   	0.305	22958505	growth rate of approximately 122.0% to 124.9%.	total net revenues to be between $780 mln and $790			
stocktwits	lots of nice setups in Energy  liking Whiting more each day $CRZO too   	0.293	23526008	lots of nice setups in Energy 	liking Whiting more each day $CRZO too			
twitter	Bad governance not confident in core biz   	-0.331	7.19619301754274E+017	Bad governance	not confident in core biz			
twitter	Airplane And Hospitality Industries Set Their Sights On #Cuba    	0.405	7.19547552874512E+017	Airplane And Hospitality Industries Set Their Sights On #Cuba				
twitter	Landed in $EA    	0.422	7.19717064785551E+017	Landed in $EA				
stocktwits	bought $skf as a hedge    	0.466	5948586	bought $skf as a hedge				
stocktwits	Transports always lead the way bull flag   	0.594	5985013	Transports always lead the way	bull flag			
stocktwits	here is no case here    	0.18	10181529	here is no case here				
stocktwits	$JOE Getting attention. No.2 on NYSE 100 top buying list    	0.788	16681249	$JOE Getting attention. No.2 on NYSE 100 top buying list				
twitter	Short Setups Looking Nice....Really Nice    	-0.464	7.09779449663721E+017	Short Setups Looking Nice....Really Nice				
stocktwits	Highest close since    	0.387	11738018	Highest close since				
stocktwits	should bring $SPX down into the close.    	-0.462	11143190	should bring $SPX down into the close.				
stocktwits	    	0.295	12548965					
twitter	money flow & stochastic dropping itting resistance at the 200-day downtrend Retest 50-day?  	-0.577	7.19900384291066E+017	money flow & stochastic dropping	itting resistance at the 200-day downtrend	Retest 50-day?		
stocktwits	9% run for this watch list winner    	0.066	14611561	9% run for this watch list winner				
twitter	have had 2 wks of fund inflows for the first time    	0.58	7.10843355966652E+017	have had 2 wks of fund inflows for the first time				
stocktwits	$GOOG $GOOGL would suck    	-0.404	31971935	$GOOG $GOOGL would suck				
twitter	ses warrants to buy $1.17B & 14.97% of AmerisourceBergen(PBR16) shares    	0.301	7.11113383341199E+017	ses warrants to buy $1.17B & 14.97% of AmerisourceBergen(PBR16) shares				
twitter	Not every idea $AMZN has is bad.    	0.235	7.10483460863992E+017	Not every idea $AMZN has is bad.				
stocktwits	looks primed poised to run too   	0.4	6598629	looks primed	poised to run too			
twitter	Yahoo extends bidding deadline as interest grows    	0.613	7.19478441544925E+017	Yahoo extends bidding deadline as interest grows				
stocktwits	good news for domestic automakers    	0.413	36285752	good news for domestic automakers				
stocktwits	mrkt needs to washout    	-0.055	27080546	mrkt needs to washout				
twitter	valuation is high No net cash fwd growth <10% high peg historical high pe & fwd PE	-0.355	7.19874748503736E+017	valuation is high	No net cash	fwd growth <10%	high peg	historical high pe & fwd PE
twitter	$WFM dropping below $30 again not enthusing Investors   	-0.499	7.19544764723499E+017	$WFM dropping below $30 again	not enthusing Investors			
twitter	$HTZ lower   	-0.341	7.19507659741872E+017	$HTZ	lower			
twitter	Recall Adds To Reliability Issues    	-0.267	7.1964915347166E+017	Recall Adds To Reliability Issues				
stocktwits	'I''m out    '	-0.14	8534262	'I''m out'				
stocktwits	Think I may just start to avoid bios    	-0.23	38897055	Think I may just start to avoid bios				
twitter	LVMH affordable #luxe doing just fine helped by duty-free & confident mainstream shoppers    	0.45	7.19577031227404E+017	LVMH affordable #luxe doing just fine helped by duty-free & confident mainstream shoppers				
stocktwits	no crying you get out    	-0.462	14249400	no crying you get out				
twitter	Trying to break daily trend line! Big move could happen   	0.485	7.19915488558494E+017	Trying to break daily trend line!	Big move could happen			
stocktwits	Went long on this    	0.449	6370584	Went long on this				
stocktwits	If bulls lucky enuff to get an upside gap fill   better take it    	0.054	29324975	If bulls lucky enuff to get an upside gap fill   better take it				
